           X Spline Natural      Error
1  0.6200000       2.500000  0.0000000
2  0.6682072       2.655493 -0.1052357
3  0.7218564       2.808835 -0.2027214
4  0.7863895       2.957875 -0.2847927
5  0.8672487       3.100462 -0.3440197
6  0.9698758       3.234444 -0.3735085
7  1.0997128       3.357670 -0.3674927
8  1.2622017       3.467990 -0.3224250
9  1.4627846       3.563253 -0.2388816
10 1.7069033       3.641306 -0.1247096
11 2.0000000       3.700000  0.0000000
           X Spline MonoH.FC      Error
1  0.6200000        2.500000  0.0000000
2  0.6682072        2.655493 -0.1052357
3  0.7218564        2.808835 -0.2027214
4  0.7863895        2.957875 -0.2847927
5  0.8672487        3.100462 -0.3440197
6  0.9698758        3.234444 -0.3735085
7  1.0997128        3.357670 -0.3674927
8  1.2622017        3.467990 -0.3224250
9  1.4627846        3.563253 -0.2388816
10 1.7069033        3.641306 -0.1247096
11 2.0000000        3.700000  0.0000000
          X Spline Natural       Error
1  2.000000       3.700000  0.00000000
2  2.344695       3.738634  0.09982011
3  2.732319       3.762312  0.14613806
4  3.151384       3.777590  0.13141764
5  3.590398       3.791024  0.06735060
6  4.037873       3.809169 -0.02048329
7  4.482318       3.838580 -0.10065457
8  4.912243       3.885813 -0.14508666
9  5.316158       3.957424 -0.13775807
10 5.682574       4.059968 -0.08128651
11 6.000000       4.200000  0.00000000
          X Spline MonoH.FC       Error
1  2.000000        3.700000  0.00000000
2  2.344695        3.738634  0.09982011
3  2.732319        3.762312  0.14613806
4  3.151384        3.777590  0.13141764
5  3.590398        3.791024  0.06735060
6  4.037873        3.809169 -0.02048329
7  4.482318        3.838580 -0.10065457
8  4.912243        3.885813 -0.14508666
9  5.316158        3.957424 -0.13775807
10 5.682574        4.059968 -0.08128651
11 6.000000        4.200000  0.00000000
          X Spline Natural         Error
1  6.000000       4.200000  0.000000e+00
2  6.260995       4.381662  6.485739e-02
3  6.474307       4.599437  8.526421e-02
4  6.652736       4.845394  5.821173e-02
5  6.809079       5.111603 -5.028379e-03
6  6.956133       5.390132 -8.581058e-02
7  7.106697       5.673050 -1.619292e-01
8  7.273568       5.952427 -2.100487e-01
9  7.469543       6.220332 -2.081411e-01
10 7.707421       6.468833 -1.394428e-01
11 8.000000       6.690000 -8.881784e-16
          X Spline MonoH.FC         Error
1  6.000000        4.200000  0.000000e+00
2  6.260995        4.381662  6.485739e-02
3  6.474307        4.599437  8.526421e-02
4  6.652736        4.845394  5.821173e-02
5  6.809079        5.111603 -5.028379e-03
6  6.956133        5.390132 -8.581058e-02
7  7.106697        5.673050 -1.619292e-01
8  7.273568        5.952427 -2.100487e-01
9  7.469543        6.220332 -2.081411e-01
10 7.707421        6.468833 -1.394428e-01
11 8.000000        6.690000 -8.881784e-16
           X Spline Natural         Error
1   8.000000       6.690000  0.000000e+00
2   8.356327       6.876948  1.888995e-01
3   8.770451       7.026980  3.867082e-01
4   9.232671       7.138443  5.566857e-01
5   9.733286       7.209685  6.713586e-01
6  10.262594       7.239054  7.141091e-01
7  10.810895       7.224900  6.795816e-01
8  11.368487       7.165569  5.730605e-01
9  11.925669       7.059410  4.090303e-01
10 12.472741       6.904771  2.091632e-01
11 13.000000       6.700000 -8.881784e-16
           X Spline MonoH.FC         Error
1   8.000000        6.690000  0.000000e+00
2   8.356327        6.876948  1.888995e-01
3   8.770451        7.026980  3.867082e-01
4   9.232671        7.138443  5.566857e-01
5   9.733286        7.209685  6.713586e-01
6  10.262594        7.239054  7.141091e-01
7  10.810895        7.224900  6.795816e-01
8  11.368487        7.165569  5.730605e-01
9  11.925669        7.059410  4.090303e-01
10 12.472741        6.904771  2.091632e-01
11 13.000000        6.700000 -8.881784e-16
          X Spline Natural      Error
1  13.00000       6.700000  0.0000000
2  13.49970       6.446364 -0.1901399
3  13.97189       6.156803 -0.3392685
4  14.41858       5.847175 -0.4359490
5  14.84178       5.533338 -0.4772036
6  15.24349       5.231151 -0.4664028
7  15.62572       4.956471 -0.4115310
8  15.99048       4.725158 -0.3237674
9  16.33978       4.553070 -0.2163295
10 16.67562       4.456064 -0.1035293
11 17.00000       4.450000  0.0000000
          X Spline MonoH.FC      Error
